Epoch,Loss_tr,Loss_va
0,0.6245485535246098,0.588415956377983
1,0.5972392216832461,0.5681625509262085
2,0.5019868055959503,0.42482074224948885
3,0.45316493360396615,0.4114628430008888
4,0.43582639365432735,0.3867626706361771
5,0.4224611478363106,0.3832261471748352
6,0.41180816504783285,0.3720934186577797
7,0.3990561977506639,0.3665960562825203
8,0.3860629096567511,0.35176261293888095
9,0.3767508541295428,0.3445420314669609
10,0.3701491759332244,0.3330674453377724
11,0.3603308292512664,0.32835475844144824
12,0.3523834805360777,0.3262748246490955
13,0.34639642081542577,0.3228922283053398
14,0.3392929039701431,0.3149977656602859
15,0.3336682416394144,0.30867089253664015
16,0.32565793309935587,0.3062140684723854
17,0.3204879144986789,0.2987275031208992
18,0.3144275421250559,0.2923645498752594
19,0.30937477349787057,0.2996767076253891
20,0.30254905032580026,0.294092946767807
21,0.29540979933135497,0.2879019046425819
22,0.2907523767936803,0.29122605925798417
23,0.28543887001449214,0.2853529599905014
24,0.2798876556864602,0.2767536301314831
25,0.27413329905373063,0.2838236340582371
26,0.27039358997064267,0.2694681819677353
27,0.2639229600513746,0.27047192394733427
28,0.259078381026914,0.27987168380618094
29,0.25358270268461747,0.27532577657699586
30,0.24829781996104905,0.2673646674156189
31,0.24401194405161547,0.26441368117928504
32,0.2373886544832247,0.26610444161295893
33,0.2346302630428322,0.2631509275436401
34,0.22976879997996386,0.2579673519730568
35,0.22435857148053412,0.26427256512641906
36,0.21859478691447234,0.26323339369893073
37,0.21610955846214103,0.2752111960053444
38,0.2115428377920855,0.25896825966238973
39,0.20737915203900997,0.25119169169664385
40,0.201511732158895,0.2618812075853348
41,0.19930753132742726,0.26643367448449135
42,0.19437856454111052,0.2734955380856991
43,0.1911156101148568,0.2879875791966915
44,0.18689030332711035,0.2667737323343754
45,0.18353486283568438,0.27833597725629805
46,0.18032823883011967,0.27152462282776835
47,0.17413484312982144,0.28914483538269997
48,0.1716032448879822,0.26341865596175196
49,0.1698112063378633,0.2807313619852066
